date,vehicle_category,maker,electric_vehicles_sold
1/1/2023,4-Wheelers,KIA Motors,35
1/1/2024,4-Wheelers,Tata Motors,5674
1/1/2024,4-Wheelers,MG Motor,908
1/1/2024,4-Wheelers,Mahindra & Mahindra,896
1/1/2024,4-Wheelers,BYD India,123
1/1/2024,4-Wheelers,Hyundai Motor,128
1/1/2024,4-Wheelers,PCA Automobiles,23
1/1/2024,4-Wheelers,BMW India,116
1/1/2024,4-Wheelers,Mercedes -Benz AG,29
1/1/2024,4-Wheelers,Volvo Auto India,42
1/1/2024,4-Wheelers,KIA Motors,29
1/2/2022,4-Wheelers,Tata Motors,1922
1/2/2022,4-Wheelers,MG Motor,30
1/2/2022,4-Wheelers,Mahindra & Mahindra,478
1/2/2022,4-Wheelers,BYD India,10
1/2/2022,4-Wheelers,Hyundai Motor,6
1/2/2022,4-Wheelers,Mercedes -Benz AG,3
1/2/2023,4-Wheelers,Tata Motors,2651
1/2/2023,4-Wheelers,MG Motor,261
1/2/2023,4-Wheelers,Mahindra & Mahindra,1531
1/2/2023,4-Wheelers,BYD India,174
1/2/2023,4-Wheelers,Hyundai Motor,36
1/2/2023,4-Wheelers,BMW India,43
1/2/2023,4-Wheelers,Mercedes -Benz AG,12
1/2/2023,4-Wheelers,Volvo Auto India,26
1/2/2023,4-Wheelers,KIA Motors,22
1/2/2024,4-Wheelers,Tata Motors,5081
1/2/2024,4-Wheelers,MG Motor,829
1/2/2024,4-Wheelers,Mahindra & Mahindra,712
1/2/2024,4-Wheelers,BYD India,135
1/2/2024,4-Wheelers,Hyundai Motor,94
1/2/2024,4-Wheelers,PCA Automobiles,64
1/2/2024,4-Wheelers,BMW India,97
1/2/2024,4-Wheelers,Mercedes -Benz AG,24
1/2/2024,4-Wheelers,Volvo Auto India,35
1/2/2024,4-Wheelers,KIA Motors,17
1/3/2022,4-Wheelers,Tata Motors,2900
1/3/2022,4-Wheelers,MG Motor,75
1/3/2022,4-Wheelers,Mahindra & Mahindra,701
1/3/2022,4-Wheelers,BYD India,14
1/3/2022,4-Wheelers,Hyundai Motor,14
1/3/2022,4-Wheelers,BMW India,7
1/3/2022,4-Wheelers,Mercedes -Benz AG,5
1/3/2022,4-Wheelers,Volvo Auto India,4
1/3/2023,4-Wheelers,Tata Motors,5065
1/3/2023,4-Wheelers,MG Motor,372
1/3/2023,4-Wheelers,Mahindra & Mahindra,2745
1/3/2023,4-Wheelers,BYD India,348
1/3/2023,4-Wheelers,Hyundai Motor,35
1/3/2023,4-Wheelers,PCA Automobiles,151
1/3/2023,4-Wheelers,BMW India,40
1/3/2023,4-Wheelers,Mercedes -Benz AG,10
1/3/2023,4-Wheelers,Volvo Auto India,37
1/3/2023,4-Wheelers,KIA Motors,17
1/3/2024,4-Wheelers,Tata Motors,6606
1/3/2024,4-Wheelers,MG Motor,885
1/3/2024,4-Wheelers,Mahindra & Mahindra,708
1/3/2024,4-Wheelers,BYD India,142
1/3/2024,4-Wheelers,Hyundai Motor,116
1/3/2024,4-Wheelers,PCA Automobiles,130
1/3/2024,4-Wheelers,BMW India,55
1/3/2024,4-Wheelers,Mercedes -Benz AG,31
1/3/2024,4-Wheelers,Volvo Auto India,39
1/3/2024,4-Wheelers,KIA Motors,26
1/4/2021,2-Wheelers,HERO ELECTRIC,759
1/4/2021,2-Wheelers,OKINAWA,1251
1/4/2021,2-Wheelers,AMPERE,751
1/4/2021,2-Wheelers,ATHER,903
1/4/2021,2-Wheelers,PURE EV,581
1/4/2021,2-Wheelers,TVS,302
1/4/2021,2-Wheelers,REVOLT,138
1/4/2021,2-Wheelers,BAJAJ,48
1/4/2021,2-Wheelers,BEING,171
1/4/2021,2-Wheelers,JITENDRA,36
1/4/2021,2-Wheelers,OTHERS,749
1/4/2022,2-Wheelers,OLA ELECTRIC,13601
1/4/2022,2-Wheelers,OKINAWA,11341
1/4/2022,2-Wheelers,HERO ELECTRIC,6803
1/4/2022,2-Wheelers,AMPERE,6864
1/4/2022,2-Wheelers,TVS,1498
1/4/2022,2-Wheelers,ATHER,2451
1/4/2022,2-Wheelers,BAJAJ,1223
1/4/2022,2-Wheelers,REVOLT,1241
1/4/2022,2-Wheelers,PURE EV,1756
1/4/2022,2-Wheelers,BEING,874
1/4/2022,2-Wheelers,JITENDRA,940
1/4/2022,2-Wheelers,OTHERS,4683
1/4/2023,2-Wheelers,OLA ELECTRIC,22548
1/4/2023,2-Wheelers,TVS,8654
1/4/2023,2-Wheelers,ATHER,7707
1/4/2023,2-Wheelers,BAJAJ,4043
1/4/2023,2-Wheelers,AMPERE,8767
